STT,Module,Hoan_thanh_%,Con_lai_%,Trong_so_1_10,Ty_trong_trong_tong_%,Trang_thai_noi_bat,Khoang_trong_chinh_can_lam
1,Auth & Phan quyen (RBAC),80,20,8,9.4,RBAC v1 chay tot - v2 shadow OFF,"scopedDb chua auto-scope GHI; migrate ~219 file db tran; bat RBAC v2"
2,CRM & Tuyen sinh,81,19,9,10.6,Pheu/SLA/hoa hong tot,"2 luong convert - v1 bo guard tien; replay chi Messenger; verify env Meta"
3,LMS & Dao tao,84,16,9,10.6,Loi manh - SCORM+EvalV2 flag OFF,"Quyen TRAINING duyet hoc ba; bat SCORM/EvalV2; genCertCode entropy thap"
4,SIS - Hoc vien & Ghi danh,83,17,8,9.4,Vong doi/dinh gia tot,"Migrate orgUnitId; 2 generator ma HV; 2 he EnrollmentStatus; UI consent"
5,Tai chinh,83,17,8,9.4,Don/thu/bien lai atomic tot,"2 luong hoan tien tach roi; cong thanh toan online; phat hanh Invoice"
6,Portal Phu huynh,84,16,7,8.2,Hoc tap/thi tot,"EvalV2 flag OFF; signed-URL anh OFF; thong bao read-state; fail-fast secret"
7,Public / Brand & Marketing,84,16,4,4.7,Web/SEO/CMS tot,"GA4+Pixel co the chua mount; fbq placeholder; 2 nguon course; quyen site-content"
8,Nhan su (HR) & Cham cong,88,12,5,5.9,Cham cong/chinh cong tot,"import ca de ca thang khong rollback; QR token co dinh; soft-delete NV"
9,San pham & Kho,92,8,5,5.9,Hoan thien nhat,"TOCTOU adjustStock; reconcile 3 he ton kho; soft-delete Kit"
10,He thong / Cau hinh / Bao cao,82,18,7,8.2,Dashboard QL dung raw db,"ManagerDashboard -> scopedDb; lech guard audit-log; bao cao phan trang; don flag"
11,Tang du lieu (ERD/Schema),78,22,7,8.2,Schema manh,"Hop nhat audit kep; dong cac 2-phase migration; runtime CoinRuleConfig"
12,Ha tang & Trien khai,72,28,4,4.7,Vercel/Supabase chay - DR chua drill,"Auto-scope WRITE; /portal/bai-giang lo URL; DR drill; Redis fallback"
13,UX Flows (giao dien thuc),89,11,4,4.7,UI da so da noi,"O search global co the tinh; hop nhat convert UI; chuan hoa UX xoa"
,TOAN DU AN (trung binh co trong so),82.8,17.2,85,100,San sang van hanh an toan ~75%,"Uu tien: bao mat da co so + toan ven tien -> go-live an toan ~5-6 tuan"
